rel_month,att,ci_lo,ci_hi
-24,0.37265500885004743,0.1410153483968392,0.6042946693032556
-23,0.37683689511778484,0.06319657146150254,0.6904772187740671
-22,0.3340698047244142,0.09835196720316874,0.5697876422456597
-21,0.3300193800003237,0.1151415580492837,0.5448972019513637
-20,0.13318734173997487,-0.14370821745207535,0.4100829009320251
-19,0.3500911646969998,0.058282475593410266,0.6418998538005893
-18,0.08153204339302471,-0.19321143103538463,0.3562755178214341
-17,0.1560657621753456,-0.08778353082515433,0.3999150551758455
-16,0.3576369012681513,0.0024700859420100363,0.7128037165942925
-15,0.23848041256943972,-0.13061091943642036,0.6075717445752998
-14,0.1765509751595805,-0.03470739979760143,0.38780935011676243
-13,0.3891700757045419,0.0721247149886633,0.7062154364204205
-12,0.1215798058991051,-0.06370006998275908,0.3068596817809693
-11,0.27351959030146517,-0.02264949354505208,0.5696886741479824
-10,0.32130338576416095,-0.013966346033353005,0.6565731175616749
-9,0.22049803541775426,-0.2539901182328335,0.694986189068342
-8,0.05642348102206398,-0.2828723430292537,0.3957193050733816
-7,-0.01164800799696248,-0.28655119395943573,0.2632551779655108
-6,0.031451176052310126,-0.347706551616317,0.4106089037209372
-5,0.08339674669091347,-0.23159509002650996,0.3983885834083369
-4,-0.0748520548130715,-0.3365888262049466,0.18688471657880362
-3,0.10049180061476443,-0.19381384516055605,0.3947974463900849
-2,0.3491852958685997,0.10512804584565769,0.5932425458915417
-1,0.0,,
0,0.052811660213459954,-0.17849639235420944,0.28411971278112935
1,0.15787743985931962,-0.16349020364454703,0.4792450833631863
2,-0.011697542008481762,-0.2727684860110242,0.24937340199406066
3,0.04244637687233978,-0.2609724605015938,0.3458652142462733
4,0.12260118107728546,-0.2481104534026065,0.49331281555717743
5,0.15482748971839688,-0.14853473132749256,0.45818971076428633
6,-0.12888179607798125,-0.42663693381669754,0.16887334166073506
7,0.04480347045571528,-0.20217404017763882,0.29178098108906936
8,0.3292423914249062,-0.1254063692534199,0.7838911521032323
9,0.09731181259863099,-0.3265605877072559,0.5211842129045179
10,0.07797060469429985,-0.3403432308527939,0.49628444024139357
11,0.16198014834719435,-0.21237401300087796,0.5363343096952666
12,0.05927312000666,-0.42326476705134547,0.5418110070646655
